nupdates,average_reward,vf_loss,fps,eplenmean,time_elapsed,pg_loss,total_timesteps,agent,entropy
1,[2100.28921875 2482.91554688 2925.631875  ],0.06526699,3,128,155.0122292,-0.003099518,512,[0 1 2],7.0487494
4,[2106.535      2489.33140625 2932.94546875],0.000898435,2,128,643.3459911,-0.061498225,2048,[0 1 2],6.2907677
8,[2130.71601563 2517.2375     2968.72273438],9.64E-06,3,128,1238.6918,-0.08504013,4096,[0 1 2],3.784732
12,[2154.32070312 2545.56515625 3009.16523438],1.18E-06,4,128,1679.789775,-0.0665641,6144,[0 1 2],0.88344705
16,[2163.745      2556.99398437 3025.53203125],2.63E-06,3,128,2209.079091,-0.0358194,8192,[0 1 2],-1.3688778
20,[2166.61335938 2560.68007812 3030.66984375],6.30E-06,4,128,2649.469985,-0.01389249,10240,[0 1 2],-3.1652112
24,[2167.70085938 2561.900625   3032.0678125 ],7.77E-06,4,128,3099.366809,-0.004898807,12288,[0 1 2],-4.233609
28,[2168.21921875 2562.40523437 3032.65867187],9.08E-06,4,128,3545.521996,0.00176412,14336,[0 1 2],-5.1054482
32,[2168.5303125  2562.58914062 3032.87992188],9.94E-06,5,128,3951.403881,0.005991743,16384,[0 1 2],-5.7242665
36,[2168.6378125  2562.87640625 3033.12796875],1.06E-05,4,128,4386.284986,-0.001688078,18432,[0 1 2],-6.213529
40,[2168.85515625 2563.11125    3033.61101563],9.19E-06,4,128,4870.861887,0.004577491,20480,[0 1 2],-6.721537
44,[2168.95320313 2563.27       3033.88789063],8.57E-06,5,128,5336.998735,0.010017791,22528,[0 1 2],-7.0930505
48,[2169.0128125  2563.30585938 3034.075     ],1.04E-05,5,128,5713.918358,0.006148532,24576,[0 1 2],-7.3967605
52,[2169.14007812 2563.5053125  3034.41117188],1.04E-05,3,128,6175.857851,0.011820588,26624,[0 1 2],-7.7132764
56,[2169.10078125 2563.60078125 3034.56148437],1.06E-05,5,128,6608.267381,0.011131912,28672,[0 1 2],-7.921408
60,[2169.10585937 2563.6409375  3034.66390625],1.13E-05,5,128,7010.754209,0.006995454,30720,[0 1 2],-8.069192
64,[2169.10835937 2563.6646875  3034.67554687],1.01E-05,4,128,7422.241015,0.007585376,32768,[0 1 2],-8.256174
68,[2169.1253125  2563.74835937 3034.845     ],1.06E-05,5,128,7834.847682,0.007481074,34816,[0 1 2],-8.416627
72,[2169.14414063 2563.81742188 3035.00234375],8.73E-06,3,128,8310.198829,0.004365647,36864,[0 1 2],-8.73806
76,[2169.17429687 2563.8409375  3035.08101562],8.97E-06,5,128,8787.927201,0.021625532,38912,[0 1 2],-8.970409
80,[2169.1653125  2563.80484375 3035.08242187],1.01E-05,5,128,9147.074227,0.016198,40960,[0 1 2],-8.961552
84,[2169.23859375 2563.78960938 3035.01351562],1.07E-05,5,128,9500.50473,0.020275684,43008,[0 1 2],-9.206682
88,[2169.299375   2563.86820313 3035.08226563],1.22E-05,5,128,9863.959139,0.006689108,45056,[0 1 2],-9.39321
92,[2169.31828125 2563.84804687 3034.96664062],1.08E-05,5,128,10217.99413,0.022954889,47104,[0 1 2],-9.286033
96,[2169.24976562 2563.86460937 3035.0734375 ],1.07E-05,5,128,10578.27235,0.011997244,49152,[0 1 2],-9.195528
100,[2169.19460937 2563.88203125 3035.09984375],1.09E-05,5,128,10941.64207,0.019686803,51200,[0 1 2],-9.217616
104,[2169.1771875  2563.91601562 3035.07226562],1.06E-05,5,128,11297.5263,0.019845266,53248,[0 1 2],-9.282241
108,[2169.1078125  2563.90773438 3035.07632813],8.78E-06,5,128,11662.42903,0.025907451,55296,[0 1 2],-9.289592
112,[2169.09476563 2563.95015625 3035.2378125 ],8.28E-06,5,128,12021.69058,0.061533555,57344,[0 1 2],-9.466356
116,[2169.10328125 2563.97117187 3035.3       ],8.91E-06,5,128,12376.84811,0.05330906,59392,[0 1 2],-9.407027
120,[2169.0828125  2563.85570313 3035.03203125],9.32E-06,5,128,12733.43386,0.014004753,61440,[0 1 2],-9.388377
124,[2169.13664062 2563.88507812 3035.100625  ],8.02E-06,5,128,13090.28177,0.01888796,63488,[0 1 2],-9.466341
128,[2169.085      2563.81125    3034.96492188],6.76E-06,5,128,13449.93053,0.013648531,65536,[0 1 2],-9.453258
132,[2169.0765625  2563.8615625  3035.00085937],5.67E-06,5,128,13804.50557,0.008720068,67584,[0 1 2],-9.259457
136,[2169.10828125 2563.8846875  3034.98953125],5.38E-06,5,128,14166.52437,0.010071551,69632,[0 1 2],-9.398287
140,[2169.13703125 2563.960625   3035.09125   ],4.71E-06,5,128,14531.2229,0.027849155,71680,[0 1 2],-9.482201
144,[2169.15210937 2563.9990625  3035.27070313],4.26E-06,5,128,14888.0383,0.004985115,73728,[0 1 2],-9.563399
148,[2169.15523437 2563.99710938 3035.30132813],3.54E-06,5,128,15252.6133,0.02399373,75776,[0 1 2],-9.650581
152,[2169.12546875 2563.99953125 3035.30804687],3.88E-06,5,128,15606.83728,0.011435391,77824,[0 1 2],-9.861624
156,[2169.1184375  2564.04132812 3035.31445312],4.43E-06,5,128,15961.31666,0.020108756,79872,[0 1 2],-9.923893
160,[2169.12125    2564.08921875 3035.25609375],5.32E-06,5,128,16316.14782,0.024132373,81920,[0 1 2],-10.004476
164,[2169.11445313 2564.12445312 3035.2790625 ],5.35E-06,5,128,16671.51392,0.03702386,83968,[0 1 2],-9.994093
168,[2169.05640625 2564.1540625  3035.2678125 ],5.29E-06,5,128,17027.24185,0.042998098,86016,[0 1 2],-10.018702
172,[2169.00953125 2564.16929687 3035.25273437],4.53E-06,5,128,17379.9388,0.012326776,88064,[0 1 2],-10.0283985
176,[2169.056875   2564.1740625  3035.28890625],4.96E-06,5,128,17732.09856,0.02851817,90112,[0 1 2],-10.010593
180,[2169.05851562 2564.15765625 3035.35164063],4.36E-06,5,128,18086.67062,0.01988705,92160,[0 1 2],-9.916072
184,[2169.02679687 2564.1290625  3035.3878125 ],3.65E-06,5,128,18450.36039,0.022411367,94208,[0 1 2],-9.877226
188,[2168.98289062 2564.15226562 3035.37140625],2.87E-06,5,128,18811.38769,0.012509079,96256,[0 1 2],-9.842442
192,[2169.0071875  2564.15585938 3035.31679687],3.32E-06,5,128,19164.4783,0.064661294,98304,[0 1 2],-9.882111
196,[2169.04851563 2564.02359375 3035.38648437],3.65E-06,5,128,19515.1399,0.014164245,100352,[0 1 2],-9.846448
200,[2169.03898437 2564.00601563 3035.29921875],2.69E-06,5,128,19867.00628,0.013879175,102400,[0 1 2],-9.790738
204,[2169.01984375 2563.94125    3035.35367188],2.13E-06,5,128,20224.86489,0.010745357,104448,[0 1 2],-9.745173
208,[2168.93640625 2563.9240625  3035.37398437],2.10E-06,5,128,20580.79851,0.015840791,106496,[0 1 2],-9.867411
212,[2168.98859375 2563.98148438 3035.38867188],2.16E-06,5,128,20933.54817,0.03593368,108544,[0 1 2],-9.749002
216,[2169.07320312 2564.04640625 3035.35203125],1.99E-06,5,128,21287.23194,0.00787103,110592,[0 1 2],-9.652588
220,[2169.07929688 2564.0553125  3035.320625  ],1.83E-06,5,128,21639.46602,0.030341437,112640,[0 1 2],-9.801697
224,[2169.12320313 2564.04164063 3035.30929688],1.88E-06,5,128,22004.33161,0.040460434,114688,[0 1 2],-9.932665
228,[2169.16914063 2564.05515625 3035.29609375],2.07E-06,5,128,22365.87175,0.018021867,116736,[0 1 2],-10.037249
232,[2169.18171875 2564.045625   3035.259375  ],2.00E-06,5,128,22718.28765,0.009673588,118784,[0 1 2],-10.05797
236,[2169.1878125  2564.03460937 3035.2684375 ],1.94E-06,5,128,23071.28957,0.023384858,120832,[0 1 2],-10.224511
240,[2169.2253125  2564.02460938 3035.27953125],2.26E-06,5,128,23423.00868,0.08787869,122880,[0 1 2],-10.249276
244,[2169.2184375 2564.05875   3035.1603125],2.30E-06,5,128,23775.51024,0.012084073,124928,[0 1 2],-10.228866
248,[2169.21171875 2564.02671875 3034.99460937],2.05E-06,5,128,24128.57902,0.008088815,126976,[0 1 2],-10.145063
252,[2169.22929687 2564.05359375 3035.01039063],1.72E-06,5,128,24480.40072,0.013571166,129024,[0 1 2],-10.280033
256,[2169.22234375 2564.00359375 3034.93328125],1.56E-06,5,128,24831.87532,0.020596437,131072,[0 1 2],-10.304525
260,[2169.21101563 2564.01820313 3034.95367188],1.60E-06,5,128,25185.63892,0.019787578,133120,[0 1 2],-10.31555
264,[2169.20617188 2563.98125    3034.85210938],1.63E-06,5,128,25548.99421,0.015626375,135168,[0 1 2],-10.492184
268,[2169.24242188 2563.94648438 3034.92125   ],1.67E-06,5,128,25907.42384,0.024418466,137216,[0 1 2],-10.566644
272,[2169.221875   2563.88148438 3034.80351562],1.67E-06,5,128,26272.87035,0.009816884,139264,[0 1 2],-10.323137
276,[2169.19820312 2563.94210938 3034.85117188],1.29E-06,5,128,26624.89593,0.012753518,141312,[0 1 2],-10.3491745
280,[2169.10984375 2563.934375   3034.8796875 ],1.23E-06,0,128,49001.68552,0.022635609,143360,[0 1 2],-10.231133
